HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(5)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,0.9989658738366081
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,1.0
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,1.0
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,0.9993746091307066
V89,0,1101,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9019792648444863
V1,1,911,0.5789199060787895,0.8386388583973655
V2,1,2363,0.5091131249363609,0.9043588658484977
V3,1,3433,0.4060588616248111,0.8986309350422371
V4,1,3742,0.3860925416175121,0.8837520042757884
V5,1,3502,0.4187943262411348,0.9331810394060537
V6,1,3643,0.40931663985451494,0.8578094976667582
V7,1,3701,0.39711118575747395,0.7479059713590921
V8,1,3104,0.4037301587301587,0.8266752577319587
V9,1,1186,0.3833752093802345,0.9123102866779089
V12,1,1427,0.4399584127534223,0.9187105816398038
V23,1,2266,0.5259259259259259,0.9514563106796117
V34,1,3729,0.38938172953206474,0.942343791901314
V45,1,3696,0.4144625773776027,0.9499458874458875
V56,1,3637,0.40113902847571187,0.9392356337640912
V67,1,3517,0.4127366853414651,0.9411430196189935
V78,1,3172,0.39112654320987655,0.8783102143757882
V89,1,1122,0.39905998209489707,0.9590017825311943
sequence,1,9351,0.32526647094607103,0.4058389477061277
V1,2,908,0.4859228362877998,0.9129955947136564
V2,2,2531,0.3833005283331607,0.9154484393520348
V3,2,3447,0.28805013325650075,0.9193501595590369
V4,2,3841,0.2742924995052444,0.9192918510804478
V5,2,3555,0.2935146294582473,0.8742616033755274
V6,2,3593,0.29358053948560675,0.8675201781241303
V7,2,3711,0.28652100840336137,0.7819994610617085
V8,2,3182,0.278789330777831,0.8651791326209931
V9,2,1147,0.23447559709241952,0.8631211857018308
V12,2,1423,0.3471861471861472,0.9367533380182713
V23,2,2254,0.38870757180156656,0.9600709849157054
V34,2,3829,0.28131178836844617,0.9428049098981457
V45,2,3556,0.2917943716912789,0.9496625421822272
V56,2,3664,0.2819170358437374,0.9355895196506551
V67,2,3564,0.2955030596271524,0.9023569023569024
V78,2,3228,0.2671264724116553,0.9175960346964065
V89,2,1145,0.25241844769403826,0.903056768558952
sequence,2,9479,0.23759763282062218,0.4244118577909062
V1,3,913,0.4792482380579483,0.9036144578313253
V2,3,2470,0.3792464484249537,0.891497975708502
V3,3,3417,0.28369151153597355,0.8966930055604332
V4,3,3722,0.27130514465244143,0.9016657710908114
V5,3,3546,0.2896983494593056,0.8747884940778342
V6,3,3654,0.2852442951140977,0.8527640941434045
V7,3,3705,0.2804919024259122,0.8256410256410256
V8,3,3160,0.2671396683673469,0.8367088607594937
V9,3,1200,0.2255354892902142,0.8416666666666667
V12,3,1425,0.3473064264680409,0.9045614035087719
V23,3,2245,0.3848494728833822,0.9224944320712695
V34,3,3662,0.2730888499393286,0.9167121791370836
V45,3,3654,0.2837003787347454,0.9293924466338259
V56,3,3755,0.27817923954886203,0.8958721704394141
V67,3,3580,0.2904259866077789,0.8807262569832403
V78,3,3335,0.2620145346565601,0.8974512743628186
V89,3,1128,0.2429403854773644,0.9024822695035462
sequence,3,9168,0.2366507828454731,0.3972513089005235
V1,4,912,0.1693632567849687,0.7697368421052632
V2,4,2476,0.1295838483724763,0.8598546042003231
V3,4,3495,0.10495121069750632,0.8778254649499284
V4,4,3763,0.0966725733412089,0.8618123837363806
V5,4,3596,0.10152791660716835,0.8412124582869855
V6,4,3534,0.10134666111342497,0.8395585738539898
V7,4,3650,0.09728173540439207,0.8076712328767124
V8,4,3139,0.09176283326701154,0.8579165339280026
V9,4,1159,0.06620861961274203,0.8403796376186368
V12,4,1482,0.13296011196641008,0.8441295546558705
V23,4,2305,0.1284323378186194,0.8702819956616052
V34,4,3736,0.09905149051490515,0.8819593147751605
V45,4,3631,0.10097332119599468,0.8746901679977968
V56,4,3693,0.09798910484901473,0.859734633089629
V67,4,3444,0.10491039932270355,0.8745644599303136
V78,4,3212,0.09117647058823529,0.8947696139476962
V89,4,1088,0.07507774322523322,0.8639705882352942
sequence,4,8425,0.07323734599970314,0.4519881305637983
V1,5,878,0.06673564407656493,0.7927107061503417
V2,5,2513,0.05438941164305656,0.8249104655789893
V3,5,3379,0.036771557594437676,0.8129624149156556
V4,5,3753,0.033252443103561354,0.8614441779909405
V5,5,3545,0.03684996798747955,0.8256699576868829
V6,5,3600,0.03737796373779637,0.8200000000000001
V7,5,3745,0.035509736540664374,0.7316421895861148
V8,5,3139,0.033346597692001594,0.8343421471806307
V9,5,1193,0.03208219752568673,0.8038558256496228
V12,5,1424,0.04329754069968826,0.8314606741573034
V23,5,2312,0.053317276111232756,0.8317474048442907
V34,5,3669,0.0357455992446213,0.8345598255655492
V45,5,3639,0.03524136481468507,0.8301731244847486
V56,5,3766,0.03392808867261422,0.8292618162506639
V67,5,3542,0.03815004262574595,0.8181818181818181
V78,5,3172,0.031712962962962964,0.851828499369483
V89,5,1136,0.030983385720700495,0.8626760563380281
sequence,5,6859,0.021425141295112853,0.5350634203236624
V1,6,930,0.07052962768746722,0.7612903225806451
V2,6,2410,0.05483936975649683,0.7726141078838175
V3,6,3390,0.03507890961262554,0.7575221238938052
V4,6,3846,0.03424838326514452,0.7834113364534582
V5,6,3549,0.03557959154628905,0.7449985911524373
V6,6,3614,0.035948624877844476,0.7689540675152186
V7,6,3817,0.03581826799377073,0.6602043489651559
V8,6,3097,0.03252161497580709,0.7736519212140781
V9,6,1203,0.016179869720529524,0.6982543640897756
V12,6,1449,0.04452948338841538,0.8178053830227743
V23,6,2320,0.05336401490247644,0.7952586206896551
V34,6,3668,0.03540598867008363,0.8017993456924755
V45,6,3616,0.03602406267487409,0.8133296460176991
V56,6,3710,0.03454080258551037,0.7878706199460916
V67,6,3544,0.037444933920704845,0.8013544018058691
V78,6,3214,0.03050007741136399,0.7930927193528313
V89,6,1117,0.017437961099932932,0.7985675917636527
sequence,6,4662,0.029870403540195975,0.758043758043758
