HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(3)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9989706639217705
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9965217391304347
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,0.9993857493857494
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9946911196911197
V1,1,462,0.5759162303664922,0.8636363636363636
V2,1,1148,0.5080906148867314,0.8954703832752613
V3,1,1756,0.4035316254161239,0.9253986332574032
V4,1,1880,0.39199475065616796,0.8925531914893617
V5,1,1855,0.41678663979268643,0.9099730458221025
V6,1,1812,0.4149203688181056,0.9133554083885209
V7,1,1857,0.40088757396449703,0.901453957996769
V8,1,1622,0.39791332263242374,0.8988902589395807
V9,1,593,0.3844221105527638,0.893760539629005
V12,1,735,0.43854748603351956,0.8244897959183674
V23,1,1173,0.5296703296703297,0.8985507246376812
V34,1,1790,0.3876374363100027,0.9162011173184358
V45,1,1734,0.4137358072556079,0.881199538638985
V56,1,1840,0.40209649240693457,0.9157608695652174
V67,1,1698,0.4176627759808747,0.9193168433451119
V78,1,1665,0.38790813935322604,0.8876876876876877
V89,1,537,0.3932683790965456,0.8938547486033519
sequence,1,2058,0.37498499579882366,0.8488824101068999
V1,2,487,0.4716180371352785,0.8234086242299794
V2,2,1232,0.38497942386831274,0.8571428571428572
V3,2,1739,0.29410915391279235,0.9108683151236343
V4,2,1886,0.272655634357762,0.855779427359491
V5,2,1814,0.2921139258623157,0.8699007717750826
V6,2,1798,0.2928053541550474,0.8754171301446051
V7,2,1840,0.2843150409231182,0.8728260869565218
V8,2,1581,0.27810556530059,0.8621125869702719
V9,2,609,0.23988195615514335,0.819376026272578
V12,2,715,0.3484743411927878,0.7818181818181819
V23,2,1160,0.3822046898969976,0.8758620689655172
V34,2,1883,0.28228105906313644,0.8757302177376527
V45,2,1734,0.28800886181113267,0.8523644752018454
V56,2,1865,0.2820927723840345,0.8798927613941019
V67,2,1732,0.29786632753991804,0.8804849884526559
V78,2,1608,0.26649117373799935,0.8507462686567164
V89,2,548,0.24922118380062305,0.8138686131386861
sequence,2,2039,0.2675449101796407,0.7827366356056891
V1,3,480,0.4704016913319239,0.725
V2,3,1232,0.37448559670781895,0.7508116883116883
V3,3,1732,0.28414827635944034,0.838337182448037
V4,3,1896,0.26841136244082064,0.8032700421940928
V5,3,1727,0.2917726887192536,0.8453966415749855
V6,3,1693,0.2876185241170812,0.7974010632014176
V7,3,1894,0.2817948371401541,0.8014783526927138
V8,3,1586,0.26540057452920524,0.7969735182849937
V9,3,617,0.23223350253807107,0.6693679092382496
V12,3,745,0.350385423966363,0.6577181208053691
V23,3,1136,0.38739917157183346,0.7684859154929577
V34,3,1795,0.27264188917214544,0.8345403899721449
V45,3,1800,0.286472889882616,0.8261111111111111
V56,3,1890,0.27817616019483155,0.8222222222222222
V67,3,1755,0.293734051601928,0.8227920227920228
V78,3,1581,0.26522744795682346,0.7938013915243517
V89,3,602,0.24669402644778843,0.7142857142857143
sequence,3,2082,0.26375346093655955,0.734390009606148
V1,4,461,0.17425431711145997,0.48156182212581344
V2,4,1232,0.1257201646090535,0.6290584415584415
V3,4,1763,0.10185453491741524,0.7549631310266591
V4,4,1926,0.09677845260100343,0.7377985462097612
V5,4,1742,0.10242243943901402,0.7657864523536165
V6,4,1788,0.10470620996936786,0.6957494407158837
V7,4,1819,0.09753813219159754,0.7135788894997251
V8,4,1568,0.09388924252068746,0.6964285714285714
V9,4,610,0.06916912695065373,0.6032786885245902
V12,4,734,0.13054101221640488,0.5708446866485013
V23,4,1161,0.13064445418676018,0.6830318690783808
V34,4,1868,0.09769647696476964,0.7237687366167024
V45,4,1794,0.10011170064227869,0.7107023411371238
V56,4,1795,0.10165642532727759,0.7526462395543175
V67,4,1770,0.10228725671260122,0.6824858757062147
V78,4,1573,0.08840289542584322,0.680864589955499
V89,4,548,0.07254116599910992,0.5948905109489051
sequence,4,2084,0.09524382901866346,0.6521113243761996
V1,5,505,0.0712372790573112,0.2277227722772277
V2,5,1199,0.0539546290619252,0.28106755629691405
V3,5,1729,0.037197231833910036,0.27125506072874495
V4,5,1967,0.03358555688304792,0.23640061006609048
V5,5,1727,0.03618886061634153,0.3300521134916039
V6,5,1792,0.03705767623293396,0.2712053571428571
V7,5,1839,0.03608800643949557,0.19358346927678083
V8,5,1597,0.03229416466826539,0.23982467125860985
V9,5,600,0.03359932801343973,0.18500000000000005
V12,5,714,0.04783362218370884,0.2366946778711485
V23,5,1136,0.050359712230215826,0.3327464788732394
V34,5,1801,0.035316234725392776,0.2659633536923931
V45,5,1753,0.03776204359294738,0.2749572162007986
V56,5,1849,0.035252960172228204,0.26392644672796106
V67,5,1755,0.03813439183442019,0.23760683760683765
V78,5,1570,0.03278940886699507,0.22101910828025473
V89,5,562,0.03179579041648007,0.19928825622775803
sequence,5,2061,0.0335014409221902,0.2028141678796701
V1,6,509,0.0703166935050993,0.17878192534381143
V2,6,1268,0.05203150912106136,0.1908517350157729
V3,6,1684,0.03881965334479301,0.19655581947743472
V4,6,1906,0.03265736107453253,0.17628541448058765
V5,6,1782,0.03818207721897706,0.21324354657687994
V6,6,1790,0.03440111420612813,0.18603351955307268
V7,6,1803,0.035914552736982644,0.15418746533555183
V8,6,1615,0.03270803270803271,0.15046439628482977
V9,6,611,0.015611814345991562,0.09001636661211132
V12,6,719,0.043402777777777776,0.13908205841446453
V23,6,1129,0.052242054854157595,0.1975199291408326
V34,6,1873,0.03552542372881356,0.191671115856914
V45,6,1775,0.0362066564545328,0.18197183098591552
V56,6,1871,0.03427800269905533,0.1678246926777125
V67,6,1763,0.037042293499858076,0.14237095859330684
V78,6,1635,0.03218784014927694,0.13577981651376148
V89,6,574,0.01891040072039622,0.05574912891986061
sequence,6,2114,0.03492447129909366,0.152317880794702
